,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
15766,89142451,2019,2019-07-13 12:15,14.0,2,1,30.424643,-84.229022,APALACHEE PKWY,2987,,POINT (-84.229022 30.424643)
15767,89142454,2019,2019-07-13 10:15,14.0,2,6,30.440511,-84.256846,GOVERNORS SQUARE BLVD,1564,,POINT (-84.256846 30.440511)
15768,89142456,2019,2019-07-13 14:15,14.0,2,2,30.457108,-84.259343,MEDICAL DR,,MICCOSUKEE RD,POINT (-84.259343 30.457108)
15769,88047551,2019,2019-07-06 12:42,14.0,3,6,30.48381,-84.15652,INTERSTATE 10 WB MM 209,,US HIGHWAY 90 EAST (MAHAN DRIVE),POINT (-84.15652 30.48381)
15770,89142431,2019,2019-07-12 16:21,14.0,2,2,30.453584,-84.280727,N MONROE ST,,E 4TH AVE,POINT (-84.280727 30.453584)
15771,88111382,2019,2019-07-13 05:00,14.0,2,2,30.63425,-84.16886,STATE ROAD 61 (THOMASVILLE RD),,CHEROKEE PLANTATION ROAD,POINT (-84.16886 30.63425)
15772,88111383,2019,2019-07-13 21:50,14.0,2,2,30.46283,-84.2147,US 90 ( STATE ROAD 10),,BUCK LAKE ROAD,POINT (-84.21469999999999 30.46283)
15773,89142931,2019,2019-08-05 07:52,14.0,2,2,30.427165,-84.228864,APALACHEE PKWY,,KINGS DR,POINT (-84.228864 30.427165)
15774,89142933,2019,2019-08-05 07:00,14.0,2,2,30.465598,-84.285533,N M L KING JR BLVD,,NORTHWOOD BLVD,POINT (-84.285533 30.465598)
15775,88056997,2019,2019-07-09 15:20,14.0,2,2,30.538154813231,-84.1763643291616,CENTERVILLE ROAD,,BRADFORDVILLE ROAD,POINT (-84.1763643291616 30.538154813231)
15776,89142947,2019,2019-08-05 16:31,14.0,2,2,30.444546,-84.288406,N MACOMB ST,,W TENNESSEE ST,POINT (-84.28840599999999 30.444546)
15777,89142037,2019,2019-06-26 08:27,14.0,2,6,30.44194,-84.228975,CAPITAL PARK DR,,E PARK AVE,POINT (-84.22897500000001 30.44194)
15778,89142045,2019,2019-06-26 12:28,14.0,2,2,30.467519,-84.275586,E BRADFORD RD,,N MERIDIAN RD,POINT (-84.275586 30.467519)
15779,89145675,2019,2019-11-08 15:10,14.0,2,4,30.448552,-84.305871,MURPHREE ST,,SLUSHER ST,POINT (-84.305871 30.448552)
15780,89145690,2019,2019-11-08 18:29,14.0,2,2,30.452419,-84.31731,OCALA RD,,OSCEOLA RIDGE APARTMENTS,POINT (-84.31731000000001 30.452419)
15781,89146462,2019,2019-12-09 18:00,14.0,2,4,30.485913,-84.237481,CAPITAL CIR NE,,GREER RD,POINT (-84.237481 30.485913)
15782,89298301,2019,2019-10-30 16:25,14.0,2,2,30.50978,-84.362247,CAPITAL CIR NW,,FLOWERWOOD DR,POINT (-84.362247 30.50978)
15783,89142922,2019,2019-08-04 15:28,14.0,3,7,30.466339,-84.23005,CAPITAL CIR NE,,ALEXIS LN,POINT (-84.23005000000001 30.466339)
15784,89142924,2019,2019-08-04 18:18,14.0,2,3,30.459516,-84.356762,W TENNESSEE ST,,CAPITAL CIR NW,POINT (-84.356762 30.459516)
15785,89142913,2019,2019-08-03 11:35,14.0,2,2,30.447466,-84.262265,N MAGNOLIA DR,,E TENNESSEE ST,POINT (-84.262265 30.447466)
15786,87843849,2019,2019-01-23 13:40,14.0,2,2,30.434799,-84.256445,APALACHEE PKWY,,E LAFAYETTE ST,POINT (-84.256445 30.434799)
15787,89142582,2019,2019-07-20 09:20,14.0,2,3,30.493676,-84.244334,CAPITAL CIR NE,,EASTGATE WAY,POINT (-84.24433399999999 30.493676)
15788,89142583,2019,2019-07-20 10:31,14.0,2,2,30.40668,-84.27055,PAUL RUSSELL RD,700,,POINT (-84.27055 30.40668)
15789,89142586,2019,2019-07-20 10:52,14.0,2,6,30.492542,-84.254614,THOMASVILLE RD,,OVEN PARK DR,POINT (-84.254614 30.492542)
15790,87843611,2019,2019-01-14 18:34,14.0,2,3,30.459119,-84.361071,CAPITAL CIR NW,,W TENNESSEE ST,POINT (-84.361071 30.459119)
15791,87843676,2019,2019-01-17 04:30,14.0,2,2,30.477473,-84.234255,BUFORD BLVD,1950,,POINT (-84.234255 30.477473)
15792,87843688,2019,2019-01-17 15:30,14.0,2,2,30.512866,-84.244321,THOMASVILLE RD,,MACLAY RD,POINT (-84.244321 30.512866)
15793,87843937,2019,2019-01-25 19:21,14.0,2,3,30.412591,-84.328564,W ORANGE AVE,,W PAUL DIRAC DR,POINT (-84.328564 30.412591)
15794,87843938,2019,2019-01-25 17:21,14.0,2,2,30.412555,-84.282995,E ORANGE AVE,,S ADAMS ST,POINT (-84.282995 30.412555)
15795,87843942,2019,2019-01-26 10:45,14.0,2,2,30.500206,-84.245345,RAYMOND DIEHL RD,,RAYMOND DIEHL BUS LANE RD,POINT (-84.245345 30.500206)
15796,87843689,2019,2019-01-17 17:00,14.0,2,2,30.44058,-84.317164,S OCALA RD,,W PENSACOLA ST,POINT (-84.31716400000001 30.44058)
15797,87843943,2019,2019-01-26 11:59,14.0,2,2,30.455561,-84.294151,OLD BAINBRIDGE RD,,W 6TH AVE,POINT (-84.294151 30.455561)
15798,87843944,2019,2019-01-26 10:55,14.0,2,2,30.431266,-84.226764,CAPITAL CIR SE,,DICK WILSON BLVD,POINT (-84.226764 30.431266)
15799,87843950,2019,2019-01-26 14:25,14.0,2,2,30.456366,-84.280742,E 6TH AVE,,N MONROE ST,POINT (-84.280742 30.456366)
15800,87845049,2019,2019-03-08 09:15,14.0,2,2,30.444735,-84.283048,W TENNESSEE ST,,N DUVAL ST,POINT (-84.28304799999999 30.444735)
15801,87845053,2019,2019-03-08 10:25,14.0,2,2,30.4469,-84.284376,W CAROLINA ST,,N BRONOUGH ST,POINT (-84.28437599999999 30.4469)
15802,89297706,2019,2019-06-14 12:40,14.0,2,2,30.46342,-84.360161,W THARPE ST,,CAPITAL CIR NW,POINT (-84.36016100000001 30.46342)
15803,87845054,2019,2019-03-08 09:30,14.0,2,4,30.427449,-84.226612,APALACHEE PKWY,,CAPITAL CIR SE,POINT (-84.226612 30.427449)
15804,87845055,2019,2019-03-08 10:35,14.0,2,3,30.412431,-84.263749,E ORANGE AVE,,JIM LEE RD,POINT (-84.263749 30.412431)
15805,87845057,2019,2019-03-08 10:46,14.0,2,6,30.469473,-84.344317,N MISSION RD,,PECAN RD,POINT (-84.344317 30.469473)
15806,89297710,2019,2019-06-21 09:58,14.0,2,2,30.531847,-84.361946,CAPITAL CIR NW,,N MONROE ST,POINT (-84.361946 30.531847)
15807,89297711,2019,2019-06-18 16:17,14.0,2,2,30.4355,-84.280798,E GAINES ST,,S MONROE ST,POINT (-84.280798 30.4355)
15808,89297712,2019,2019-06-11 16:33,14.0,2,3,30.51079,-84.362961,CAPITAL CIR NW,,FLOWERWOOD DR,POINT (-84.362961 30.51079)
15809,89146288,2019,2019-12-02 20:09,14.0,2,3,30.434187,-84.289673,RAILROAD AVE,800BLK,SAINT FRANCIS ST,POINT (-84.28967299999999 30.434187)
15810,89145700,2019,2019-11-09 02:38,14.0,2,3,30.440612,-84.280586,S MONROE ST,,E COLLEGE AVE,POINT (-84.280586 30.440612)
15811,89145808,2019,2019-11-13 14:59,14.0,2,2,30.460725,-84.35679,TENN ST W,4300,,POINT (-84.35679 30.460725)
15812,89146731,2019,2019-12-18 18:25,14.0,2,3,30.44564,-84.280614,N MONROE ST,,E VIRGINIA ST,POINT (-84.280614 30.44564)
15813,89146732,2019,2019-12-18 16:50,14.0,2,3,30.441068,-84.337997,S APPLEYARD DR,,W PENSACOLA ST,POINT (-84.337997 30.441068)
15814,89146733,2019,2019-12-18 16:20,14.0,2,1,30.443957,-84.261826,N MAGNOLIA DR,,E CALL ST,POINT (-84.261826 30.443957)
15815,89146734,2019,2019-12-18 17:07,14.0,2,3,30.497595,-84.253786,LIVE OAK PLANTATION RD,,THOMASVILLE RD,POINT (-84.25378600000001 30.497595)
15816,89146463,2019,2019-12-09 18:55,14.0,2,2,30.441432,-84.333485,CACTUS ST,,W PENSACOLA ST,POINT (-84.333485 30.441432)
15817,89146464,2019,2019-12-09 14:44,14.0,2,2,30.45633,-84.264361,E 6TH AVE,,LEE AVE,POINT (-84.26436099999999 30.45633)
15818,89146467,2019,2019-12-09 20:30,14.0,2,2,30.437581,-84.297642,W SAINT AUGUSTINE ST,,S WOODWARD AVE,POINT (-84.297642 30.437581)
15819,89146447,2019,2019-12-09 08:10,14.0,2,2,30.447075,-84.284347,N BRONOUGH ST,,W CAROLINA ST,POINT (-84.284347 30.447075)
15820,89146448,2019,2019-12-09 07:00,14.0,2,4,30.474707,-84.294898,SPOONWOOD DR,,N MONROE ST,POINT (-84.294898 30.474707)
15821,89146449,2019,2019-12-09 08:56,14.0,2,3,30.448452,-84.317242,W TENNESSEE ST,,OCALA RD,POINT (-84.31724199999999 30.448452)
15822,89146456,2019,2019-12-09 14:30,14.0,2,2,30.44914,-84.313411,W TENNESSEE ST,,HIGH RD,POINT (-84.313411 30.44914)
15823,89146457,2019,2019-12-09 15:03,14.0,2,3,30.44459,-84.288428,N MACOMB ST,,W TENNESSEE ST,POINT (-84.288428 30.44459)
15824,89145070,2019,2019-10-18 07:55,14.0,2,2,30.435567,-84.261747,E LAFAYETTE ST,,S MAGNOLIA DR,POINT (-84.261747 30.435567)
15825,89145071,2019,2019-10-18 10:15,14.0,2,2,30.446623,-84.33818,UNNAMED RD,,APPLEYARD DR,POINT (-84.33817999999999 30.446623)
15826,89145072,2019,2019-10-18 10:51,14.0,2,2,30.441953,-84.280662,N MONROE ST,,E PARK AVE,POINT (-84.28066200000001 30.441953)
15827,89145073,2019,2019-10-18 11:50,14.0,2,4,30.466625,-84.268367,THOMASVILLE RD,,BETTON RD,POINT (-84.268367 30.466625)
15828,89145074,2019,2019-10-18 11:44,14.0,3,3,30.419444,-84.230684,CAPITAL CIR SE,,HILL LN,POINT (-84.230684 30.419444)
15829,89145075,2019,2019-10-18 12:55,14.0,2,7,30.44361,-84.282942,W CALL ST,,N DUVAL ST,POINT (-84.28294200000001 30.44361)
15830,89298633,2019,2019-12-30 22:18,14.0,2,2,30.561068,-84.217766,THOMASVILLE RD,,BANNERMAN RD,POINT (-84.217766 30.561068)
15831,89145825,2019,2019-11-13 19:20,14.0,2,3,30.435123,-84.301835,LAKE BRADFORD RD,,W GAINES ST,POINT (-84.301835 30.435123)
15832,89145855,2019,2019-11-14 18:05,14.0,2,2,30.465374,-84.335844,TRIMBLE RD,,W THARPE ST,POINT (-84.33584399999999 30.465374)
15833,89146735,2019,2019-12-18 20:15,14.0,2,3,30.526023,-84.236374,THOMASVILLE RD,,FORSYTHE WAY,POINT (-84.236374 30.526023)
15834,89146736,2019,2019-12-18 21:05,14.0,2,2,30.50598,-84.24621,VILLAGE SQUARE BLVD,,KILLEARN CENTER BLVD,POINT (-84.24621 30.50598)
15835,89146737,2019,2019-12-18 18:05,14.0,2,2,30.457532,-84.280721,N MONROE ST,,E 7TH AVE,POINT (-84.280721 30.457532)
15836,89146738,2019,2019-12-18 21:05,14.0,2,4,30.429846,-84.243401,APALACHEE PKWY,,N PAUL RUSSELL RD,POINT (-84.24340100000001 30.429846)
15837,89298585,2019,2019-12-18 10:13,14.0,2,2,30.456369,-84.280691,N MONROE ST,,E 6TH AVE,POINT (-84.280691 30.456369)
15838,89298586,2019,2019-12-19 07:03,14.0,2,2,30.440171,-84.386974,BLOUNTSTOWN HWY,,BARINEAU RD,POINT (-84.386974 30.440171)
15839,89298587,2019,2019-12-18 14:32,14.0,2,2,30.559542,-84.187322,SERNA DR,,BRADFORDVILLE RD,POINT (-84.18732199999999 30.559542)
15840,89298282,2019,2019-10-28 07:20,14.0,2,2,30.563025,-84.219386,BANNERMAN RD,,THOMASVILLE RD,POINT (-84.219386 30.563025)
15841,89298283,2019,2019-10-28 13:15,14.0,2,2,30.561943,-84.216617,THOMASVILLE RD,,OLD BRADFORDVILLE RD,POINT (-84.216617 30.561943)
15842,87844445,2019,2019-02-13 22:15,14.0,2,2,30.506552,-84.250235,THOMASVILLE RD,,MARKET ST,POINT (-84.250235 30.506552)
15843,87844446,2019,2019-02-13 18:49,14.0,2,3,30.423523,-84.302188,LEVY AVE,,LAKE BRADFORD RD,POINT (-84.302188 30.423523)
15844,87844452,2019,2019-02-13 17:51,14.0,2,2,30.50023,-84.248784,LONNBLADH RD,,RAYMOND DIEHL RD,POINT (-84.248784 30.50023)
15845,87844462,2019,2019-02-14 07:35,14.0,2,3,30.481608,-84.236912,DENNIS ST,,CAPITAL CIR NE,POINT (-84.236912 30.481608)
15846,87844463,2019,2019-02-14 09:03,14.0,2,3,30.425525,-84.306437,HIGHLAND ST,,MCCASKILL AVE,POINT (-84.306437 30.425525)
15847,87844390,2019,2019-02-12 12:20,14.0,2,2,30.438259,-84.272334,APALACHEE PKWY,,BROWARD ST,POINT (-84.272334 30.438259)
15848,87844391,2019,2019-02-12 12:12,14.0,2,2,30.444668,-84.278584,E TENNESSEE ST,,N GADSDEN ST,POINT (-84.278584 30.444668)
15849,87844393,2019,2019-02-12 13:08,14.0,2,3,30.444715,-84.276801,E TENNESSEE ST,,N MERIDIAN ST,POINT (-84.27680100000001 30.444715)
15850,89146968,2019,2019-12-31 14:32,14.0,2,4,30.427369,-84.226844,APALACHEE PKWY,,CAPITAL CIR SE,POINT (-84.226844 30.427369)
15851,87844386,2019,2019-02-12 08:24,14.0,2,3,30.397867,-84.281471,CRAWFORDVILLE RD,,RIDGE RD,POINT (-84.281471 30.397867)
15852,87844387,2019,2019-02-12 08:39,14.0,2,2,30.440176,-84.308931,W PENSACOLA ST,,RIVOLI RD,POINT (-84.308931 30.440176)
15853,87844388,2019,2019-02-12 09:02,14.0,2,3,30.496795,-84.253925,THOMASVILLE RD,,THOMASWOOD DR,POINT (-84.253925 30.496795)
15854,87844389,2019,2019-02-12 12:24,14.0,2,2,30.463583,-84.300382,W THARPE ST,,OLD BAINBRIDGE RD,POINT (-84.300382 30.463583)
15855,89140472,2019,2019-04-22 14:27,14.0,2,2,30.445341,-84.279573,N CALHOUN ST,,E VIRGINIA ST,POINT (-84.279573 30.445341)
15856,89140473,2019,2019-04-23 12:18,14.0,2,2,30.440327,-84.313298,W PENSACOLA ST,,FIFIELD LN,POINT (-84.313298 30.440327)
15857,89140474,2019,2019-04-23 12:24,14.0,2,3,30.460657,-84.22811,CAPITAL CIR NE,,MAHAN DR,POINT (-84.22811 30.460657)
15858,89142691,2019,2019-07-24 19:21,14.0,2,3,30.443575,-84.273171,N FRANKLIN BLVD,,E CALL ST,POINT (-84.273171 30.443575)
15859,89142693,2019,2019-07-24 17:39,14.0,2,3,30.412327,-84.280549,S MONROE ST,,E ORANGE AVE,POINT (-84.28054899999999 30.412327)
15860,89142694,2019,2019-07-24 16:44,14.0,2,2,30.438736,-84.28437,S BRONOUGH ST,,W PENSACOLA ST,POINT (-84.28437 30.438736)
15861,89142700,2019,2019-07-25 07:50,14.0,2,3,30.492815,-84.345205,FRED GEORGE RD,,MISSION RD,POINT (-84.34520500000001 30.492815)
15862,89142701,2019,2019-07-25 06:28,14.0,2,2,30.428356,-84.212477,APALACHEE PKWY,,SUTOR RD,POINT (-84.21247700000001 30.428356)
15863,87504935,2019,2019-01-14 10:30,14.0,2,4,30.381567,-84.236791,CAPITAL CIR SE,,TRAM RD,POINT (-84.236791 30.381567)
15865,89142172,2019,2019-07-01 16:10,14.0,2,3,30.444714,-84.292731,W TENNESSEE ST,,DEWEY ST,POINT (-84.292731 30.444714)
15866,87843693,2019,2019-01-17 17:24,14.0,2,2,30.419625,-84.280646,S MONROE ST,,E MAGNOLIA DR,POINT (-84.280646 30.419625)
15867,87843695,2019,2019-01-17 20:52,14.0,2,4,30.448539,-84.312585,W CALL ST,1825,,POINT (-84.312585 30.448539)
15868,89297708,2019,2019-06-11 15:00,14.0,2,6,30.498987,-84.334988,FRED GEORGE RD,,OLD BAINBRIDGE RD,POINT (-84.334988 30.498987)
15869,87197159,2019,2019-01-15 19:40,14.0,1,1,30.44057,-84.45768,STATE ROAD 20,,NF ROAD 325,POINT (-84.45768 30.44057)
15870,87197160,2019,2019-01-15 20:25,14.0,1,1,30.41931,-84.35052,STATE ROAD 371,,STATE ROAD 20,POINT (-84.35052 30.41931)
15872,89297967,2019,2019-09-06 10:37,14.0,2,2,30.459227,-84.386439,W TENNESSEE ST,,BARINEAU RD,POINT (-84.386439 30.459227)
15873,89297968,2019,2019-09-07 13:15,14.0,2,4,30.561302,-84.217377,THOMASVILLE RD,,BANNERMAN RD,POINT (-84.217377 30.561302)
15874,89297709,2019,2019-06-06 10:45,14.0,2,2,30.480545,-84.36333,CAPITAL CIR NW,,W I-10,POINT (-84.36333 30.480545)
15875,88074488,2019,2019-05-20 17:00,14.0,2,4,30.50248,-84.32937,UNITED STATES HIGHWAY 27,,FRED GEORGE RD,POINT (-84.32937 30.50248)
15876,89140545,2019,2019-04-25 21:00,14.0,2,2,30.434411,-84.305244,JACKSON BLUFF RD,,EPPES DR E,POINT (-84.305244 30.434411)
15877,89140562,2019,2019-04-26 13:03,14.0,2,4,30.449097,-84.313434,W TENNESSEE ST,,HIGH RD,POINT (-84.313434 30.449097)
15879,89140370,2019,2019-04-19 16:19,14.0,3,5,30.433296,-84.252454,APALACHEE PKWY,,BLAIR STONE RD,POINT (-84.252454 30.433296)
15880,89140723,2019,2019-05-01 08:15,14.0,3,3,30.392021,-84.235211,CAPITAL CIR SE,,MERCHANTS ROW BLVD,POINT (-84.23521100000001 30.392021)
15881,89140725,2019,2019-05-01 15:40,14.0,2,2,30.474546,-84.27725,JOHN KNOX RD,,N MERIDIAN RD,POINT (-84.27725 30.474546)
15882,89140726,2019,2019-05-01 15:51,14.0,2,3,30.42635,-84.213744,APALACHEE PKWY,3535,,POINT (-84.21374400000001 30.42635)
15883,89140728,2019,2019-05-01 16:57,14.0,2,2,30.465387,-84.331505,W THARPE ST,,MARY ELLEN DR,POINT (-84.33150500000001 30.465387)
15884,89140476,2019,2019-04-23 13:20,14.0,2,4,30.522675,-84.232572,ROYAL OAKS DR,,RUNNYMEDE RD,POINT (-84.232572 30.522675)
15885,87844394,2019,2019-02-12 12:35,14.0,2,2,30.463297,-84.313493,HIGH RD,,W THARPE ST,POINT (-84.31349299999999 30.463297)
15886,87844395,2019,2019-02-12 14:14,14.0,2,2,30.504829,-84.249944,TIMBERLANE RD,,CAPITAL CIR NE,POINT (-84.249944 30.504829)
15887,87844400,2019,2019-02-12 15:03,14.0,2,2,30.462788,-84.242954,N BLAIR STONE RD,,MICCOSUKEE RD,POINT (-84.242954 30.462788)
15891,87844829,2019,2019-02-28 19:44,14.0,2,3,30.46167,-84.223352,MAHAN DR,,WEEMS RD,POINT (-84.22335200000001 30.46167)
15892,87844830,2019,2019-02-28 18:34,14.0,2,2,30.442256,-84.280436,E PARK AVE,,N MONROE ST,POINT (-84.28043599999999 30.442256)
15893,89142971,2019,2019-08-06 11:49,14.0,2,2,30.459025,-84.230674,MAHAN DR,,JAYDELL CIR,POINT (-84.23067399999999 30.459025)
15894,89142796,2019,2019-07-30 07:35,14.0,2,2,30.4794,-84.260253,THOMASVILLE RD,,ASBURY HILL DR,POINT (-84.26025300000001 30.4794)
15895,89142797,2019,2019-07-30 12:05,14.0,2,4,30.452364,-84.249226,MAHAN DR,,N BLAIR STONE RD,POINT (-84.24922599999999 30.452364)
15896,89142798,2019,2019-07-30 11:54,14.0,2,2,30.442601,-84.283067,N DUVAL ST,,W PARK AVE,POINT (-84.283067 30.442601)
15897,89146491,2019,2019-12-10 16:31,14.0,2,4,30.397982,-84.279873,WOODVILLE HWY,,GAILE AVE,POINT (-84.27987299999999 30.397982)
15898,89297812,2019,2019-08-08 17:57,14.0,2,2,30.463565,-84.313431,W THARPE ST,,HIGH RD,POINT (-84.31343099999999 30.463565)
15899,89298449,2019,2019-11-24 17:00,14.0,2,2,30.473293,-84.191531,MAHAN DR,,EDENFIELD RD,POINT (-84.191531 30.473293)
15900,89298450,2019,2019-11-25 16:25,14.0,2,3,30.488487,-84.145871,MAHAN DR,,PLANTATION FOREST DR,POINT (-84.145871 30.488487)
15901,89146159,2019,2019-11-25 18:03,14.0,2,4,30.542543,-84.228045,THOMASVILLE RD,,KERRY FOREST PKWY,POINT (-84.22804499999999 30.542543)
15902,89146160,2019,2019-11-25 18:21,14.0,2,3,30.43718,-84.261709,S MAGNOLIA DR,,APALACHEE PKWY,POINT (-84.261709 30.43718)
15903,89146161,2019,2019-11-25 17:00,14.0,2,2,30.478225,-84.233943,BUFORD BLVD,,WELAUNEE BLVD,POINT (-84.233943 30.478225)
15904,89146165,2019,2019-11-25 17:17,14.0,2,2,30.412575,-84.281467,E ORANGE AVE,,S MONROE ST,POINT (-84.28146700000001 30.412575)
15905,89298588,2019,2019-12-19 11:37,14.0,2,2,30.551671,-84.223696,OLD WATER OAK RD,6265,,POINT (-84.223696 30.551671)
15907,87843414,2019,2019-01-07 11:30,14.0,2,2,30.43807,-84.279585,APALACHEE PKWY,,S CALHOUN ST,POINT (-84.279585 30.43807)
15908,87843416,2019,2019-01-07 14:32,14.0,2,4,30.440504,-84.31644,W PENSACOLA ST,,S OCALA RD,POINT (-84.31644 30.440504)
15909,87843434,2019,2019-01-07 21:35,14.0,2,3,30.412592,-84.289739,W ORANGE AVE,,WAHNISH WAY,POINT (-84.289739 30.412592)
15910,87843435,2019,2019-01-08 06:48,14.0,2,2,30.459993,-84.227785,MAHAN DR,,CAPITAL CIR NE,POINT (-84.227785 30.459993)
15911,87843436,2019,2019-01-08 07:49,14.0,2,2,30.450393,-84.254986,MAHAN DR,,MARYS DR,POINT (-84.254986 30.450393)
15912,89297722,2019,2019-05-22 08:05,14.0,2,3,30.459796,-84.222337,ACADIAN BLVD,,WEEMS RD,POINT (-84.222337 30.459796)
15913,88056973,2019,2019-05-02 21:20,14.0,2,2,30.4834878236052,-84.1631440215031,UNITED STATES-90,,WALDEN ROAD,POINT (-84.1631440215031 30.4834878236052)
15914,89141802,2019,2019-06-16 02:50,14.0,2,2,30.44058,-84.317233,W PENSACOLA ST,,S OCALA RD,POINT (-84.317233 30.44058)
15915,89142503,2019,2019-07-16 14:28,14.0,2,3,30.457863,-84.284337,W 7TH AVE,,N BRONOUGH ST,POINT (-84.28433699999999 30.457863)
15916,89142504,2019,2019-07-16 14:55,14.0,3,4,30.449326,-84.330959,W TENNESSEE ST,,BOARDWALK AT APPLEYARD APARTMENTS,POINT (-84.33095899999999 30.449326)
15917,89142538,2019,2019-07-18 10:17,14.0,2,2,30.480206,-84.302863,N MONROE ST,,LAKESHORE DR,POINT (-84.302863 30.480206)
15918,89142592,2019,2019-07-20 09:47,14.0,2,4,30.489369,-84.277236,LIVE OAK PLANTATION RD,,N MERIDIAN RD,POINT (-84.277236 30.489369)
15919,89142609,2019,2019-07-21 10:58,14.0,2,3,30.431328,-84.226576,CAPITAL CIR SE,,DICK WILSON BLVD,POINT (-84.22657599999999 30.431328)
15920,89144993,2019,2019-10-15 17:02,14.0,2,2,30.375735,-84.293085,CAPITAL CIR SW,,CRAWFORDVILLE RD,POINT (-84.293085 30.375735)
15921,89144994,2019,2019-10-15 21:19,14.0,2,2,30.444766,-84.272107,E TENNESSEE ST,,TERRACE ST,POINT (-84.27210700000001 30.444766)
15922,89143518,2019,2019-08-27 17:44,14.0,3,5,30.463562,-84.31126,W THARPE ST,,CROYDON DR,POINT (-84.31126 30.463562)
15923,89144828,2019,2019-10-07 11:58,14.0,2,2,30.500323,-84.248771,RAYMOND DIEHL RD,,LONNBLADH RD,POINT (-84.248771 30.500323)
15924,89144830,2019,2019-10-10 10:35,14.0,2,2,30.435527,-84.299373,W GAINES ST,,S WOODWARD AVE,POINT (-84.299373 30.435527)
15925,89144831,2019,2019-10-10 11:18,14.0,2,3,30.439794,-84.280619,S MONROE ST,,E JEFFERSON ST,POINT (-84.280619 30.439794)
15926,89144833,2019,2019-10-10 12:12,14.0,3,3,30.423231,-84.237942,OLD SAINT AUGUSTINE RD,,HENDRIX RD,POINT (-84.237942 30.423231)
15927,89144835,2019,2019-10-10 12:46,14.0,2,3,30.444447,-84.272269,N FRANKLIN BLVD,,E TENNESSEE ST,POINT (-84.27226899999999 30.444447)
15928,89298216,2019,2019-10-17 15:54,14.0,2,2,30.492705,-84.327576,TALPECO RD,,,POINT (-84.32757599999999 30.492705)
15929,89298217,2019,2019-10-17 21:00,14.0,2,4,30.431697,-84.286073,FAMU WAY,,ML KING BLVD S,POINT (-84.286073 30.431697)
15930,89298218,2019,2019-10-17 20:55,14.0,2,2,30.506546,-84.277334,N MERIDIAN RD,,TIMBERLANE RD,POINT (-84.277334 30.506546)
15931,89142787,2019,2019-07-29 16:35,14.0,2,2,30.422876,-84.249068,BLAIR STONE RD,,WINEWOOD BLVD,POINT (-84.24906799999999 30.422876)
15932,89142788,2019,2019-07-29 17:20,14.0,2,2,30.437779,-84.249782,GOVERNORS SQUARE BLVD,,BLAIR STONE RD,POINT (-84.249782 30.437779)
15933,89142789,2019,2019-07-29 17:20,14.0,4,6,30.433839,-84.253889,APALACHEE PKWY,,E LAFAYETTE ST,POINT (-84.253889 30.433839)
15934,89142790,2019,2019-07-29 17:29,14.0,2,3,30.449088,-84.283101,W BREVARD ST,,N DUVAL ST,POINT (-84.283101 30.449088)
15935,89142794,2019,2019-07-29 17:09,14.0,2,3,30.432379,-84.278166,E VAN BUREN ST,,S GADSDEN ST,POINT (-84.278166 30.432379)
15936,87232672,2019,2019-02-15 17:18,14.0,2,5,30.4566300722653,-84.3457844660305,U.S. HIGHWAY 90 (STATE ROAD 8),,BLOUNTSTOWN STREET,POINT (-84.34578446603049 30.4566300722653)
15937,89142956,2019,2019-08-05 18:30,14.0,2,6,30.456309,-84.306542,BASIN ST,,ALABAMA ST,POINT (-84.30654199999999 30.456309)
15938,89142967,2019,2019-08-06 11:00,14.0,3,4,30.473359,-84.244074,CENTERVILLE RD,,N BLAIR STONE RD,POINT (-84.244074 30.473359)
15939,89142968,2019,2019-08-06 11:40,14.0,2,2,30.467529,-84.275301,E BRADFORD RD,,N MERIDIAN RD,POINT (-84.275301 30.467529)
15940,87843641,2019,2019-01-15 16:25,14.0,2,2,30.466067,-84.303304,OLD BAINBRIDGE RD,2100 BLOCK,FOGLE CT,POINT (-84.303304 30.466067)
15941,87843643,2019,2019-01-16 08:20,14.0,2,2,30.47367,-84.344435,HARTSFIELD RD,,N MISSION RD,POINT (-84.344435 30.47367)
15942,87843645,2019,2019-01-16 10:08,14.0,2,2,30.447591,-84.327541,W TENNESSEE ST,,DIXIE DR,POINT (-84.327541 30.447591)
15943,87843898,2019,2019-01-24 15:38,14.0,2,2,30.467499,-84.284969,W BRADFORD RD,,N MONROE ST,POINT (-84.284969 30.467499)
15944,87843906,2019,2019-01-24 21:35,14.0,3,4,30.500315,-84.24747,CAPITAL CIR NE,,RAYMOND DIEHL RD,POINT (-84.24747000000001 30.500315)
15945,87843871,2019,2019-01-24 09:30,14.0,2,2,30.454765,-84.341856,W TENNESSEE ST,,SENATOR PAT THOMAS BLVD,POINT (-84.34185600000001 30.454765)
15946,87843881,2019,2019-01-24 14:01,14.0,2,2,30.439005,-84.317185,S OCALA RD,,BELLE VUE WAY,POINT (-84.31718499999999 30.439005)
15947,87843883,2019,2019-01-24 15:05,14.0,2,3,30.437095,-84.261238,APALACHEE PKWY,,S MAGNOLIA DR,POINT (-84.26123800000001 30.437095)
